,NUMBER_AGGL_CLUSTERS,NUMBER_AGGL_DISTANCE,KNN,MEAN,CI_lower_bound_knn,CI_upper_bound_knn,CI_knn_range
0,490,0.04,5,-0.15730055782312927,-0.27755272108843543,-0.03527125850340137,0.24228146258503405
1,490,0.04,10,-0.1753721993845157,-0.29099562682215746,-0.05838117508908351,0.23261445173307393
2,490,0.04,15,-0.1684033166629289,-0.28528443098851264,-0.05159050827290642,0.2336939227156062
3,490,0.04,20,-0.16384431015915785,-0.2791601041065485,-0.04817458588650439,0.23098551822004412
4,490,0.04,25,-0.16131370706028986,-0.27645054730506186,-0.0467191076013743,0.22973143970368756
5,490,0.04,30,-0.16319804862907544,-0.27850314506729973,-0.04862755424623142,0.22987559082106832
6,482,0.07,5,-0.15374463945578232,-0.2739472789115646,-0.0320731292517007,0.24187414965986392
7,482,0.07,10,-0.17419704292193067,-0.289323675898931,-0.056541808390022756,0.23278186750890822
8,482,0.07,15,-0.16768510804614886,-0.28420777889910537,-0.04996677443871327,0.2342410044603921
9,482,0.07,20,-0.16324569281221907,-0.2788527762576659,-0.04646601886368602,0.2323867573939799
10,482,0.07,25,-0.16070337916913338,-0.27559945004495456,-0.04586820257510484,0.22973124746984971
11,482,0.07,30,-0.16395387175832712,-0.2789111050783365,-0.0495310278452446,0.2293800772330919
12,428,0.1,5,-0.15212242176870747,-0.2711573129251701,-0.029861394557823148,0.24129591836734693
13,428,0.1,10,-0.16975167217363135,-0.28714692662779395,-0.0498599165856819,0.23728701004211206
14,428,0.1,15,-0.1704839606538586,-0.28709812551394176,-0.052060000373775915,0.23503812514016584
15,428,0.1,20,-0.16923301254011022,-0.2854726157725798,-0.05247776920677672,0.2329948465658031
16,428,0.1,25,-0.16988265808069805,-0.2866700468734722,-0.05419726168887977,0.2324727851845924
17,428,0.1,30,-0.16404168354971038,-0.2801869449392789,-0.048639096004822316,0.23154784893445662
18,327,0.13,5,-0.17288074149659868,-0.29507057823129246,-0.050570578231292684,0.24449999999999977
19,327,0.13,10,-0.18369928781988987,-0.30398396501457725,-0.0661882086167801,0.23779575639779715
20,327,0.13,15,-0.17009259557449352,-0.2878051973536667,-0.052617792355037496,0.23518740499862922
21,327,0.13,20,-0.1683947098190218,-0.28583718546138975,-0.052713694063191874,0.23312349139819788
22,327,0.13,25,-0.17190344281894113,-0.2892915108224679,-0.055252836620421034,0.23403867420204688
23,327,0.13,30,-0.17147226942174035,-0.2895835217069569,-0.05447789756209116,0.23510562414486574
24,218,0.16,5,-0.2089296190476191,-0.3304464285714286,-0.08740901360544227,0.2430374149659863
25,218,0.16,10,-0.21504769447143943,-0.33250203811683404,-0.09641180758017502,0.236090230536659
26,218,0.16,15,-0.20249969837116782,-0.3190971085320576,-0.08543208647928055,0.23366502205277703
27,218,0.16,20,-0.18238835966785039,-0.29966058282367647,-0.065800699981651,0.23385988284202547
28,218,0.16,25,-0.17082531904377463,-0.2873227781606812,-0.05451977953982584,0.23280299862085535
29,218,0.16,30,-0.1690051633034887,-0.2867272626745602,-0.053325101490800414,0.2334021611837598
